food_name,food_group,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,vitamin_a_mcg,folate_mcg,zinc_mg,preparation_state,region,rag_description
"Sambar (lentil vegetable stew)","Cooked Dishes",52,3.1,1.5,7.2,2.3,31,1.0,390,183,10,41,24,0.5,"Cooked","South India","Sambar, 52 kcal, protein 3.1g from toor dal, vegetables vitamins, high sodium 390mg from salt. Pair with idli."
"Rasam (pepper tamarind soup)","Cooked Dishes",25,0.9,0.5,4.3,1.0,18,0.8,360,140,5,10,8,0.2,"Cooked","Tamil Nadu/South India","Rasam, 25 kcal, very low calorie, digestive piperine from pepper, vitamin C 5mg, thin tamarind soup."
"Avial (mixed vegetable coconut)","Cooked Dishes",110,2.3,7.4,10.0,3.0,30,1.1,180,310,15,35,12,0.3,"Cooked","Kerala","Avial, 110 kcal, fat 7.4g from coconut, fiber 3g from vegetables, vitamins from mixed vegetables."
"Pongal (rice-moong dal)","Cooked Dishes",182,5.8,6.5,27.0,1.5,28,1.1,240,120,0,10,15,0.6,"Cooked","Tamil Nadu","Pongal, 182 kcal, ghee-enriched comfort food, protein 5.8g from moong dal, sodium 240mg, Harvest festival dish."
"Payasam (kheer South style)","Cooked Dishes",155,4.5,5.5,22.5,0.5,140,0.3,65,180,0,42,5,0.4,"Cooked","Kerala/Tamil Nadu","South Indian payasam, 155 kcal, calcium 140mg from milk, protein 4.5g, festive sweet dish."
"Pesarattu (moong dosa)","Cooked Dishes",180,9.5,4.2,27.5,3.5,35,1.8,195,280,5,15,30,1.0,"Cooked","Andhra Pradesh","Moong dal dosa (pesarattu), 180 kcal, protein 9.5g from whole moong, fiber 3.5g, iron 1.8mg, AP breakfast."
"Dal makhani","Cooked Dishes",131,7.3,5.2,17.3,2.1,65,2.1,380,320,1,65,50,1.2,"Cooked","Punjab","Dal makhani, 131 kcal, urad+rajma dal, cream/butter fat 5.2g, protein 7.3g, iron 2.1mg. Punjabi signature."
"Butter chicken (murgh makhani)","Cooked Dishes",175,14.5,11.2,5.3,0.8,45,1.3,420,250,8,120,12,1.0,"Cooked","Punjab/Delhi","Butter chicken (murgh makhani), 175 kcal, protein 14.5g, fat 11.2g from butter/cream, vitamin A 120mcg."
"Palak paneer","Cooked Dishes",197,9.2,14.4,9.6,2.1,271,1.6,355,300,18,530,70,0.9,"Cooked","North India","Palak paneer, 197 kcal, calcium 271mg from paneer, vitamin A 530mcg from spinach, protein 9.2g."
"Rajma masala","Cooked Dishes",130,7.4,2.8,21.5,5.3,70,2.1,380,400,4,25,60,1.1,"Cooked","North India","Rajma masala, 130 kcal, fiber 5.3g, protein 7.4g, iron 2.1mg, potassium 400mg. High folate 60mcg."
"Aloo gobi (potato cauliflower)","Cooked Dishes",95,2.3,4.2,13.6,2.5,30,0.8,285,390,22,10,28,0.3,"Cooked","North India","Aloo gobi, 95 kcal, vitamin C 22mg, fiber 2.5g, potassium 390mg, light everyday dry sabzi."
"Chole bhature","Cooked Dishes",320,10.5,12.8,44.0,4.5,75,2.8,490,380,5,30,90,1.2,"Cooked","Punjab/Delhi","Chole bhature, 320 kcal, high sodium 490mg, fat 12.8g from bhatura frying, protein 10.5g, Sunday indulgence."
"Saag (sarson, mustard leaves)","Cooked Dishes",88,4.2,5.5,8.0,3.5,220,3.8,190,496,82,780,150,0.8,"Cooked","Punjab","Sarson da saag, 88 kcal, exceptional calcium 220mg, vitamin A 780mcg, vitamin C 82mg, iron 3.8mg. Winter king."
"Shahi paneer","Cooked Dishes",248,10.5,17.8,14.8,1.2,318,0.8,420,240,3,210,15,1.0,"Cooked","North India","Shahi paneer, 248 kcal, calcium 318mg, fat 17.8g from cream/butter/paneer, protein 10.5g, royal curry."
"Machher jhol (fish curry, Bengal)","Cooked Dishes",120,14.0,6.8,3.5,0.5,55,1.5,360,280,8,30,10,0.8,"Cooked","West Bengal","Bengali fish curry (machher jhol), 120 kcal, protein 14g, omega-3 from fish, vitamin A 30mcg."
"Shorshe ilish (hilsa mustard)","Cooked Dishes",210,17.5,14.2,4.5,0.8,65,1.4,290,370,4,45,12,0.7,"Cooked","West Bengal","Hilsa in mustard curry, 210 kcal, protein 17.5g, omega-3 DHA/EPA from hilsa fish, mustard oil."
"Litti chokha (Bihar)","Cooked Dishes",285,9.5,8.2,45.0,4.0,55,3.5,330,350,5,15,40,1.5,"Cooked","Bihar","Litti chokha, 285 kcal, sattu-stuffed wheat balls baked in fire, protein 9.5g, iron 3.5mg, fiber 4g."
"Kosha mangsho (spicy goat curry)","Cooked Dishes",210,17.8,13.5,5.0,0.8,28,3.2,410,340,5,45,12,3.8,"Cooked","West Bengal","Kosha mangsho (dry-fried goat), 210 kcal, protein 17.8g, iron 3.2mg, zinc 3.8mg, slow-cooked Bengali curry."
"Dhokla (steamed, fermented)","Cooked Dishes",160,7.0,4.5,23.0,1.2,48,1.5,340,150,5,15,35,0.7,"Cooked","Gujarat","Gujarati steamed dhokla, 160 kcal, protein 7g, probiotic fermented food, calcium 48mg, low fat."
"Thepla (fenugreek flatbread)","Cooked Dishes",250,7.8,7.5,40.5,3.5,95,3.2,210,285,8,25,22,1.0,"Cooked","Gujarat","Gujarati thepla, 250 kcal, fenugreek leaves calcium 95mg, iron 3.2mg, fiber 3.5g, travel-friendly flatbread."
"Undhiyu (mixed vegetables)","Cooked Dishes",180,5.5,9.5,21.5,5.5,75,2.5,290,450,20,85,45,0.8,"Cooked","Gujarat","Undhiyu, 180 kcal, fiber 5.5g, vitamin A 85mcg, potassium 450mg, traditional Gujarati winter vegetable medley."
"Vada (medu vada, urad dal)","Cooked Dishes",322,11.0,17.5,34.4,1.8,70,2.5,320,260,0,0,30,1.2,"Cooked","South India","Medu vada, 322 kcal, fried urad dal, protein 11g, fat 17.5g, calcium 70mg, crispy South Indian breakfast."
"Sol kadhi (kokum drink)","Beverages",28,0.8,1.2,4.0,0.3,50,0.5,55,110,4,0,3,0.2,"Cooked","Konkan/Goa/Maharashtra","Sol kadhi, 28 kcal, kokum with coconut milk, digestive, calcium 50mg from coconut, probiotic Konkan drink."
"Bamboo shoot (khorisa), raw","Vegetables",27,2.6,0.3,5.2,2.2,13,0.5,4,533,4,1,7,0.5,"Raw","Northeast India","Bamboo shoot (khorisa), 27 kcal, potassium 533mg, fiber 2.2g, low calorie, fermented for Northeast curries."
"Black rice (chak hao, Manipur)","Cereals",356,8.9,3.5,76.2,4.9,20,3.5,5,278,0,0,15,2.3,"Raw","Manipur/Northeast","Black rice (chak hao), 356 kcal, anthocyanin pigment, fiber 4.9g, iron 3.5mg. Protected GI product of Manipur."
"Axone (fermented soybean, Nagaland)","Fermented Foods",195,18.5,10.2,8.5,4.5,115,4.8,580,450,2,0,35,1.8,"Fermented","Nagaland/Northeast","Axone (fermented soybean), 195 kcal, protein 18.5g, iron 4.8mg, calcium 115mg, pungent Nagaland ingredient."
"Ragi porridge (ragi kanji)","Weaning Foods",74,1.8,0.4,16.2,0.8,82,0.9,12,95,0,0,4,0.6,"Cooked","South India","Ragi porridge, 74 kcal, calcium 82mg, excellent weaning food for infants 6+ months, easy to digest."
"Khichdi (rice-moong dal)","Cooked Dishes",110,4.5,2.8,18.5,1.5,23,1.0,180,120,0,8,18,0.5,"Cooked","Pan-India","Moong-rice khichdi, 110 kcal, complete protein from rice+dal, easy to digest, ideal sick/weaning food."
"Suji kheer (semolina pudding)","Cooked Dishes",155,5.1,5.3,22.8,0.5,142,0.9,68,185,0,50,8,0.5,"Cooked","Pan-India","Semolina kheer, 155 kcal, calcium 142mg from milk, protein 5.1g, easily digestible baby and sick food."
"Poha upma (flattened rice dish)","Cooked Dishes",140,3.1,3.5,25.0,1.2,16,1.4,195,140,8,10,10,0.5,"Cooked","Maharashtra/West India","Poha upma, 140 kcal, iron 1.4mg, vitamin C 8mg from lime/vegetables, popular Maharashtra breakfast."
"Besan chilla (gram flour crepe)","Cooked Dishes",190,10.5,7.2,24.5,3.0,70,2.8,220,280,5,15,50,1.2,"Cooked","North India","Besan chilla, 190 kcal, protein 10.5g, fiber 3g, iron 2.8mg, healthy breakfast alternative to dosa."
"Egg bhurji (scrambled eggs)","Cooked Dishes",196,12.5,15.2,2.1,0,65,1.8,285,145,2,150,40,1.1,"Cooked","Pan-India","Egg bhurji, 196 kcal, excellent protein 12.5g, fat 15.2g, vitamin A 150mcg, iron 1.8mg. Fast protein meal."
"Omelette (2-egg, plain)","Cooked Dishes",195,13.0,15.6,0.8,0,58,1.7,320,140,0,155,45,1.0,"Cooked","Pan-India","Plain 2-egg omelette, 195 kcal, protein 13g, fat 15.6g from eggs and oil, vitamin A 155mcg."
"Paneer bhurji","Cooked Dishes",230,13.5,17.2,6.5,1.0,350,0.8,380,210,5,95,12,1.2,"Cooked","North India","Paneer bhurji, 230 kcal, calcium 350mg, protein 13.5g, fat 17.2g, scrambled paneer with vegetables."
"Mixed vegetable sabzi","Cooked Dishes",78,2.5,4.0,9.8,2.8,38,1.0,280,295,18,75,20,0.3,"Cooked","Pan-India","Mixed vegetable sabzi, 78 kcal, vitamin A 75mcg, vitamin C 18mg, fiber 2.8g, oil-cooked variety."
"Aloo paratha (potato flatbread)","Cooked Dishes",310,7.8,11.5,47.5,2.2,28,2.1,320,298,5,5,20,0.8,"Cooked","Punjab/North India","Aloo paratha, 310 kcal, carbs 47.5g, fat 11.5g from ghee/oil, protein 7.8g. Breakfast staple of North India."
"Puri (fried whole wheat bread)","Cooked Dishes",340,8.0,14.5,48.5,2.0,30,2.8,3,195,0,0,25,1.6,"Cooked","North India","Puri (fried puffed bread), 340 kcal, fat 14.5g from deep frying, carbs 48.5g. For pooja and festivals."
"Bhatura (leavened fried bread)","Cooked Dishes",367,9.2,16.8,49.8,1.5,25,2.5,280,145,0,0,18,0.7,"Cooked","Punjab/North India","Bhatura, 367 kcal, maida-based, deep fried fat 16.8g, paired with chole. Sunday brunch indulgence."
"Chicken biryani","Cooked Dishes",229,12.5,8.5,29.5,1.2,35,1.5,450,265,3,45,15,1.2,"Cooked","Hyderabad/Pan-India","Chicken biryani, 229 kcal, protein 12.5g, fat 8.5g, sodium 450mg, carbs 29.5g. Festive rice dish."
"Mutton biryani","Cooked Dishes",265,13.8,11.5,30.5,1.2,32,2.5,480,295,3,30,12,2.0,"Cooked","Hyderabad/Lucknow","Mutton biryani, 265 kcal, protein 13.8g, fat 11.5g, iron 2.5mg, zinc 2mg, aromatic festive dish."
"Vegetable biryani","Cooked Dishes",185,5.5,7.2,27.8,2.5,42,1.5,390,280,8,55,18,0.6,"Cooked","Pan-India","Veg biryani, 185 kcal, fiber 2.5g, vitamin A 55mcg, protein 5.5g, aromatic rice with vegetables."
"Haleem (meat-lentil stew)","Cooked Dishes",189,15.2,8.5,16.0,3.5,48,3.2,520,320,2,20,30,2.5,"Cooked","Hyderabad/Mumbai","Haleem, 189 kcal, protein 15.2g from wheat+lentils+meat, iron 3.2mg, fiber 3.5g. Ramzan special."
"Pav bhaji (Mumbai)","Cooked Dishes",230,6.2,9.8,33.5,3.8,48,1.5,480,340,18,65,22,0.6,"Cooked","Maharashtra/Mumbai","Pav bhaji, 230 kcal, vitamin C 18mg, vitamin A 65mg from veggies, sodium 480mg, butter-rich street food."
"Masala dosa (with potato filling)","Cooked Dishes",213,4.8,8.5,32.5,1.5,22,1.0,325,180,8,8,12,0.5,"Cooked","South India","Masala dosa, 213 kcal, fat 8.5g from oil, sodium 325mg, carbs 32.5g. Served with sambar and chutney."
"Uttapam (thick rice pancake)","Cooked Dishes",168,4.8,4.5,27.2,1.5,20,1.0,285,115,6,10,10,0.5,"Cooked","South India","Uttapam, 168 kcal, thicker than dosa, topped with onion/tomato vegetables, protein 4.8g, sodium 285mg."
"Appam (Kerala rice pancake)","Cooked Dishes",145,3.2,1.5,30.8,0.8,12,0.5,210,78,0,0,8,0.3,"Cooked","Kerala","Appam, 145 kcal, fermented rice pancake with lacy edges, low fat 1.5g, paired with coconut milk stew."
"Puttu (Kerala steamed rice cake)","Cooked Dishes",262,5.5,3.8,54.2,1.2,16,0.8,5,80,0,0,8,0.5,"Cooked","Kerala","Puttu, 262 kcal, rice and coconut steamed dish, fat 3.8g from coconut, low sodium 5mg, Kerala breakfast."
"Kadhi pakoda (North Indian)","Cooked Dishes",168,4.5,9.5,18.5,1.8,98,0.9,420,165,2,22,10,0.5,"Cooked","Rajasthan/North India","Kadhi pakoda, 168 kcal, calcium 98mg from yogurt, fat 9.5g, sodium 420mg, besan pakoda in yogurt gravy."
"Baingan bharta (roasted eggplant)","Cooked Dishes",98,2.1,5.8,11.2,2.5,20,0.5,285,245,8,5,18,0.3,"Cooked","Pan-India","Baingan bharta, 98 kcal, fire-roasted eggplant with onion-tomato, low calorie, smoky flavor."
"Mutter paneer","Cooked Dishes",185,10.2,11.5,12.8,2.8,210,1.2,360,290,8,55,22,0.9,"Cooked","North India","Mutter paneer, 185 kcal, calcium 210mg, protein 10.2g, fiber 2.8g from peas, vitamin A 55mcg. Classic curry."
"Sabudana khichdi (sago)","Cooked Dishes",310,3.5,10.5,51.8,0.8,28,1.2,155,120,0,0,5,0.3,"Cooked","Maharashtra","Sabudana khichdi, 310 kcal, tapioca starch high carbs 51.8g, fat 10.5g from peanuts/ghee, fasting food."
"Chivda (flattened rice mix snack)","Snacks",380,7.2,12.5,62.5,2.8,25,2.5,450,220,0,5,8,0.8,"Processed","Maharashtra","Chivda snack mix, 380 kcal, sodium 450mg from salt, fat 12.5g from oil, iron 2.5mg from poha. Diwali snack."
"Shrikhand (strained yogurt sweet)","Dairy",200,5.8,4.5,35.5,0,165,0.1,65,175,0,25,5,0.5,"Fermented","Gujarat/Maharashtra","Shrikhand, 200 kcal, calcium 165mg, protein 5.8g, sugar-sweetened strained dahi (chakka). Festive dessert."
"Rasmalai","Sweets",198,7.5,8.8,24.2,0.2,215,0.2,90,175,0,65,7,0.5,"Cooked","West Bengal/Pan-India","Rasmalai, 198 kcal, calcium 215mg, protein 7.5g from chenna and milk, creamy Bengali milk sweet."
"Mysore pak (besan sweet)","Sweets",518,7.8,29.5,60.5,1.2,70,2.5,5,360,0,35,50,1.2,"Cooked","Karnataka/Tamil Nadu","Mysore pak, 518 kcal, very high fat 29.5g from ghee, protein 7.8g from besan. Rich Karnataka sweet."
"Payasam (vermicelli, seviyan)","Cooked Dishes",168,4.8,5.2,26.5,0.5,128,0.5,60,155,0,35,5,0.3,"Cooked","North/South India","Seviyan payasam/kheer, 168 kcal, calcium 128mg from milk, protein 4.8g, vermicelli-milk sweet."
"Falooda (rose drink)","Beverages",130,4.2,3.5,22.5,1.2,110,0.3,55,135,1,18,5,0.3,"Cooked","Pan-India","Falooda, 130 kcal, calcium 110mg from milk, basil seeds fiber 1.2g, rose syrup, seasonal summer drink."
"Thandai (milk spice drink)","Beverages",145,4.8,5.5,20.5,0.5,135,0.5,55,168,0,25,6,0.5,"Cooked","Rajasthan/North India","Thandai, 145 kcal, calcium 135mg from milk, nuts protein 4.8g, Holi festival drink with bhang or plain."
"Chaat (aloo tikki chaat)","Snacks",198,5.2,7.8,29.5,3.5,42,1.5,520,380,10,15,22,0.5,"Cooked","North India","Aloo tikki chaat, 198 kcal, very high sodium 520mg, fiber 3.5g from chickpeas, vitamin C 10mg. Street food."
"Bhel puri (Mumbai chaat)","Snacks",165,4.5,5.8,26.5,2.5,25,1.5,485,210,5,8,15,0.4,"Cooked","Maharashtra","Bhel puri, 165 kcal, high sodium 485mg, fiber 2.5g, protein 4.5g from peanuts, iconic Mumbai street chaat."
"Panipuri/Golgappa","Snacks",148,4.0,5.5,23.0,2.8,35,1.4,450,185,3,5,12,0.5,"Cooked","Pan-India","Panipuri (golgappa), 148 kcal, sodium 450mg from tamarind water + spices, protein 4g from filling."
"Dahi vada (lentil dumpling in curd)","Cooked Dishes",160,7.5,5.5,22.5,2.0,110,1.2,320,180,1,15,20,0.8,"Cooked","Pan-India","Dahi vada, 160 kcal, calcium 110mg from curd, protein 7.5g from urad dal, probiotic curd base."
"Kadala curry (Kerala black chana)","Cooked Dishes",148,8.5,5.2,20.5,5.8,82,2.5,320,480,3,10,55,1.2,"Cooked","Kerala","Kadala curry, 148 kcal, fiber 5.8g, protein 8.5g from kala chana, potassium 480mg, served with puttu."
"Egg curry (anda curry)","Cooked Dishes",158,9.8,11.2,5.5,0.8,50,1.5,380,190,3,130,30,0.9,"Cooked","Pan-India","Egg curry, 158 kcal, protein 9.8g, vitamin A 130mcg, fat 11.2g from egg and oil, iron 1.5mg."
"Prawn curry (Goan style)","Cooked Dishes",168,16.5,9.5,6.5,1.5,75,2.2,425,280,8,60,12,1.2,"Cooked","Goa/Kerala","Goan prawn curry, 168 kcal, protein 16.5g, calcium 75mg, vitamin A 60mcg, coconut-based curry."
"Fish curry (Kerala style)","Cooked Dishes",195,17.5,12.5,6.0,1.8,60,1.8,410,350,6,55,10,0.8,"Cooked","Kerala","Kerala fish curry, 195 kcal, protein 17.5g from fish, omega-3, coconut milk fat 12.5g, vitamin A 55mcg."
"Pork vindaloo (Goa)","Cooked Dishes",258,19.5,17.5,7.5,1.5,28,1.5,485,378,8,25,10,2.8,"Cooked","Goa","Pork vindaloo, 258 kcal, protein 19.5g, fat 17.5g, high sodium 485mg, zinc 2.8mg, Goan Portuguese-Indian dish."
"Chicken 65 (South Indian)","Cooked Dishes",280,22.5,17.5,9.5,0.8,22,1.5,520,285,3,20,8,1.2,"Cooked","Tamil Nadu","Chicken 65, 280 kcal, protein 22.5g, deep fried fat 17.5g, high sodium 520mg, spicy Chennai appetizer."
"Appam with stew (Kerala)","Cooked Dishes",200,5.5,8.5,28.5,1.5,38,0.8,220,210,6,15,10,0.5,"Cooked","Kerala","Appam with Kerala stew, 200 kcal, coconut milk fat 8.5g, protein 5.5g, mild coconut vegetable/meat stew."
"Modak (steamed rice-coconut)","Sweets",230,3.2,8.5,37.5,2.5,25,1.0,5,120,0,0,5,0.5,"Cooked","Maharashtra","Steamed modak, 230 kcal, coconut-jaggery filling, fat 8.5g, fiber 2.5g, Ganesh festival sweet."
"Puran poli (sweet flatbread)","Sweets",285,7.5,7.5,50.5,2.8,55,2.5,10,280,0,8,35,1.0,"Cooked","Maharashtra/South India","Puran poli, 285 kcal, chana dal jaggery filling, protein 7.5g, iron 2.5mg, Holi/Ugadi festival sweet."
"Karanji (fried coconut pastry)","Sweets",410,5.5,21.5,52.5,2.0,25,1.2,10,145,0,0,8,0.5,"Cooked","Maharashtra/Karnataka","Karanji (karjikai), 410 kcal, deep fried 21.5g fat, coconut-jaggery filling, Diwali sweet."
"Poori with aloo (breakfast)","Cooked Dishes",285,5.8,12.2,41.5,2.5,22,1.5,185,280,5,5,15,0.5,"Cooked","North India","Poori with potato sabzi, 285 kcal, fried fat 12.2g, carbs 41.5g, protein 5.8g, weekend North Indian breakfast."
"Shakarkandi (roasted sweet potato)","Cooked Dishes",90,1.8,0.2,21.5,3.5,32,0.7,6,345,20,980,12,0.3,"Cooked","Pan-India","Roasted sweet potato (shakarkandi), 90 kcal, vitamin A 980mcg, fiber 3.5g, vitamin C 20mg. Street health snack."
"Makhana kheer (lotus seed)","Cooked Dishes",175,5.5,5.0,27.5,0.5,148,0.8,65,195,0,35,8,0.5,"Cooked","Bihar/North India","Makhana kheer, 175 kcal, calcium 148mg from milk, lotus seed protein 5.5g, low fat snack/dessert."
"Gond ladoo (edible gum sweet)","Sweets",445,8.5,23.5,58.5,2.5,120,3.5,15,285,0,45,30,1.2,"Cooked","Rajasthan/North India","Gond (edible gum) ladoo, 445 kcal, eaten by lactating mothers, iron 3.5mg, calcium 120mg from ghee/nuts."
"Pinni (wheat-jaggery-ghee sweet)","Sweets",462,8.8,24.5,59.5,2.0,55,3.2,12,295,0,30,28,1.0,"Cooked","Punjab","Pinni, 462 kcal, wheat atta with ghee and jaggery, iron 3.2mg, calcium 55mg, Punjabi winter warming sweet."
"Til ladoo (sesame-jaggery)","Sweets",478,9.5,26.5,58.5,5.5,480,7.2,28,420,0,0,28,3.8,"Cooked","Pan-India","Sesame-jaggery ladoo (til ladoo), 478 kcal, exceptional calcium 480mg, iron 7.2mg, zinc 3.8mg. Makar Sankranti sweet."
"Amla murabba (gooseberry preserve)","Preserved Foods",198,0.5,0.1,52.5,2.5,30,0.5,5,120,85,2,4,0.1,"Processed","UP/Rajasthan","Amla murabba, 198 kcal, high sugar preserve, vitamin C 85mg retained despite cooking, traditional Ayurvedic."
"Achar (mango pickle)","Preserved Foods",190,1.5,16.5,12.5,2.5,28,1.5,1800,158,3,12,8,0.3,"Processed","Pan-India","Mango achar (pickle), 190 kcal, extremely high sodium 1800mg—use sparingly, fat 16.5g from oil, antioxidants."
"Papad (urad dal wafer)","Snacks",331,23.7,1.5,59.4,0.9,151,3.9,1790,900,0,0,75,2.4,"Processed","Pan-India","Papad, 331 kcal, extremely high sodium 1790mg, protein 23.7g from urad dal, calcium 151mg. 1 papad ~10g."
"Roasted makhana (fox nuts)","Snacks",347,9.7,0.1,76.9,0.5,60,1.4,5,367,0,0,15,1.0,"Cooked","Bihar/Pan-India","Roasted fox nuts (makhana), 347 kcal, low fat 0.1g, protein 9.7g, potassium 367mg. Healthy low-fat snack."
"Chole kulche (Delhi style)","Cooked Dishes",295,9.8,8.5,47.5,4.5,65,2.5,520,410,4,25,80,1.2,"Cooked","Delhi/North India","Chole kulche, 295 kcal, fiber 4.5g, protein 9.8g, high sodium 520mg, iron 2.5mg, street food."
"Kadhi chawal (Gujarati)","Cooked Dishes",158,4.2,4.8,26.5,1.2,95,0.5,340,188,1,18,8,0.3,"Cooked","Gujarat","Kadhi chawal, 158 kcal, calcium 95mg from yogurt kadhi, carbs from rice 26.5g, sweet-sour-spicy."
"Kozhukattai (steamed rice dumpling)","Cooked Dishes",210,3.8,3.5,43.2,1.5,18,0.5,5,92,0,0,6,0.3,"Cooked","Tamil Nadu","Kozhukattai (modak Tamil style), 210 kcal, steamed rice flour with sweet coconut filling, low fat."
"Pesarattu upma (AP)","Cooked Dishes",198,10.2,5.5,31.5,3.5,38,2.0,210,295,4,12,32,1.0,"Cooked","Andhra Pradesh","Pesarattu with upma, 198 kcal, protein 10.2g from moong, fiber 3.5g, iron 2mg, Andhra breakfast."
"Dum aloo (Kashmir style)","Cooked Dishes",165,3.2,10.5,17.5,2.2,30,1.0,320,380,8,15,18,0.4,"Cooked","Kashmir/North India","Dum aloo, 165 kcal, potato carbs 17.5g, yogurt-spice gravy fat 10.5g, potassium 380mg, Kashmiri specialty."
"Roghan josh (Kashmiri mutton)","Cooked Dishes",245,18.5,16.5,7.5,1.2,28,3.5,490,368,2,35,12,3.8,"Cooked","Kashmir","Roghan josh, 245 kcal, protein 18.5g from mutton, iron 3.5mg, zinc 3.8mg, Kashmiri aromatic mutton curry."
"Gushtaba (Kashmiri meatball)","Cooked Dishes",228,16.5,15.2,8.5,0.5,68,2.8,480,298,1,25,8,2.5,"Cooked","Kashmir","Gushtaba, 228 kcal, mutton meatballs in yogurt gravy, protein 16.5g, calcium 68mg, zinc 2.5mg, Wazwan dish."
"Modur pulao (Kashmiri sweet rice)","Cooked Dishes",278,5.2,10.5,43.5,1.2,28,1.5,8,115,0,5,8,0.8,"Cooked","Kashmir","Modur pulao, 278 kcal, sweet saffron rice with nuts, fat 10.5g from ghee and nuts, protein 5.2g."
"Thukpa (Tibetan noodle soup)","Cooked Dishes",125,7.5,3.5,19.5,2.8,38,1.8,480,265,5,20,15,0.8,"Cooked","Ladakh/Sikkim/Arunachal","Thukpa, 125 kcal, protein 7.5g from meat/egg, noodle-veggie soup, sodium 480mg, Himalayan warming meal."
"Thenthuk (Ladakhi soup)","Cooked Dishes",118,6.2,3.8,18.5,2.5,35,1.5,440,225,4,15,12,0.6,"Cooked","Ladakh","Thenthuk (hand-pulled noodle soup), 118 kcal, protein 6.2g, vegetables, warming Ladakhi winter food."
"Rice, Basmati (long grain), raw","Cereals",349,7.6,0.7,78.1,0.4,17,0.5,1,88,0,0,7,1.0,"Raw","Punjab/Haryana","Basmati rice, 349 kcal, low glycemic index among rice varieties, aroma from 2-acetyl-1-pyrroline, protein 7.6g."
"Rice, red (Kerala/Matta)","Cereals",355,8.2,2.5,74.5,3.2,22,1.9,6,218,0,0,18,2.2,"Raw","Kerala","Kerala red/matta rice, 355 kcal, higher fiber 3.2g, iron 1.9g than white rice, nutty flavor, anthocyanins."
"Rice, black (forbidden)","Cereals",356,8.9,3.5,76.2,4.9,20,3.5,5,278,0,0,15,2.3,"Raw","Northeast India","Black rice, 356 kcal, anthocyanins, fiber 4.9g, iron 3.5mg, traditionally reserved for royalty."
"Rice, sona masuri","Cereals",344,7.0,0.4,77.5,0.3,8,0.6,3,72,0,0,7,1.2,"Raw","Andhra Pradesh/Telangana","Sona masuri rice, 344 kcal, medium grain, lower glycemic than white rice, popular in South India daily meals."
"Corn (sweet), fresh","Vegetables",86,3.2,1.2,18.7,2.0,2,0.5,15,270,7,10,42,0.5,"Raw","Pan-India","Fresh sweet corn, 86 kcal, fiber 2g, vitamin C 7mg, folate 42mcg, lutein for eye health, potassium 270mg."
"Wheat bran","Cereals",216,15.6,4.3,64.5,42.8,73,10.6,2,1182,0,0,79,7.3,"Processed","Pan-India","Wheat bran, 216 kcal, highest fiber 42.8g, iron 10.6mg, zinc 7.3mg, potassium 1182mg. Add to dough/dal."
"Rice bran","Cereals",316,13.3,20.9,49.7,21.0,57,18.5,7,1485,0,0,63,6.0,"Processed","Pan-India","Rice bran, 316 kcal, high fiber 21g, iron 18.5mg, gamma-oryzanol antioxidant, potassium 1485mg."
"Buckwheat (kuttu atta)","Cereals",343,13.3,3.4,71.5,10.0,18,2.2,1,460,0,0,30,2.4,"Raw","Himalayan/Uttarakhand","Buckwheat (kuttu), 343 kcal, gluten-free pseudo-cereal, rutin antioxidant, protein 13.3g, fiber 10g. Navratri food."
"Amaranth grain (rajgira)","Cereals",371,13.6,7.0,65.3,6.7,159,7.6,4,508,4,0,82,2.9,"Raw","Pan-India","Rajgira (amaranth grain), 371 kcal, exceptional iron 7.6mg, calcium 159mg, complete protein 13.6g, gluten-free."
"Quinoa (cooked)","Cereals",120,4.4,1.9,21.3,2.8,17,1.5,7,172,0,0,42,1.1,"Cooked","Pan-India","Cooked quinoa, 120 kcal, complete protein 4.4g with all amino acids, fiber 2.8g, iron 1.5mg, folate 42mcg."
"Chickpea sprouts (ankurit chana)","Pulses",164,10.7,2.6,26.1,4.5,45,2.9,14,451,12,3,185,1.5,"Raw","Pan-India","Sprouted chickpea, 164 kcal, enhanced folate 185mcg, vitamin C 12mg from sprouting, protein 10.7g, iron 2.9mg."
"Moong sprouts (ankurit moong)","Pulses",30,3.0,0.2,5.9,1.8,13,0.9,6,149,13,2,61,0.4,"Raw","Pan-India","Sprouted moong, 30 kcal, vitamin C 13mg developed from sprouting, protein 3g, very low calorie healthy snack."
"Lobia (black-eyed pea), cooked","Pulses",116,7.7,0.5,20.8,6.5,24,2.5,4,278,1,2,208,1.3,"Cooked","Pan-India","Cooked lobia (black-eyed peas), 116 kcal, folate 208mcg, iron 2.5mg, fiber 6.5g, protein 7.7g."
"Matki sprouts (moth bean sprout)","Pulses",35,3.5,0.2,7.0,1.9,25,1.5,5,180,10,0,55,0.8,"Raw","Maharashtra","Sprouted matki, 35 kcal, vitamin C from sprouting, iron 1.5mg, protein 3.5g, fiber 1.9g, Maharashtrian misal."
"Rajma, cooked","Pulses",127,8.7,0.5,22.8,6.4,28,2.2,2,403,0,0,130,1.0,"Cooked","North India","Cooked rajma, 127 kcal, fiber 6.4g, folate 130mcg, potassium 403mg, protein 8.7g, iron 2.2mg."
